Symbol,Date,Range,Range_MA_5,Range_MA_10,Range_MA_20,RangeCompression_5_vs_20,RangeCompression_10_vs_20,Overlap_Ratio,Overlap_Ratio_MA_5,Overlap_Ratio_MA_10,DirectionalEfficiency_5,DirectionalEfficiency_10,DirectionalEfficiency_20
GBPUSD,2002-04-05,0.006099999999999994,0.008759999999999967,0.007299999999999996,0.007910000000000006,1.1074589127686423,0.9228824273072049,0.9016393442622694,0.6767388291892177,0.796754942110572,1.0,0.22509225092250615,0.20999999999999733
GBPUSD,2002-04-08,0.007699999999999818,0.006639999999999935,0.0074099999999999834,0.008059999999999989,0.8238213399503652,0.9193548387096766,0.5714285714285796,0.770259516152529,0.7735947689503976,1.0,0.1731448763250915,0.2648083623693382
GBPUSD,2002-04-09,0.007800000000000029,0.006939999999999946,0.007539999999999969,0.00785499999999999,0.883513685550599,0.9598981540420086,0.8333333333333238,0.7369261828191938,0.7600050253606561,0.09259259259260363,0.38888888888889156,0.35691318327974
GBPUSD,2002-04-10,0.0040999999999999925,0.0066599999999999325,0.007259999999999977,0.007614999999999994,0.8745896257386655,0.9533814839133267,0.560975609756091,0.7182122138613207,0.7349431660464083,0.3111111111110974,0.34394904458598125,0.28169014084506366
GBPUSD,2002-04-11,0.007000000000000117,0.00653999999999999,0.0074099999999999834,0.007539999999999991,0.8673740053050395,0.9827586206896541,0.5857142857142749,0.6906182288989078,0.6935145946178357,0.6595744680850993,0.3757575757575706,0.24861878453038078
GBPUSD,2002-04-12,0.0033999999999998476,0.005999999999999961,0.007379999999999965,0.00733499999999998,0.8179959100204468,1.0061349693251513,1.0,0.7102903600464539,0.6935145946178357,0.49999999999997863,0.23152709359606408,0.17518248175181972
GBPUSD,2002-04-15,0.0049000000000001265,0.005440000000000023,0.0060399999999999785,0.007224999999999993,0.7529411764705922,0.835986159169548,0.6938775510203592,0.7347801559648098,0.7525198360586695,0.03703703703703094,0.06097560975610367,0.2633587786259515
GBPUSD,2002-04-16,0.005700000000000038,0.0050200000000000244,0.005979999999999985,0.007020000000000004,0.7150997150997183,0.8518518518518493,0.6140350877193044,0.6909205068420059,0.7139233448305998,0.4285714285714368,0.20634920634920562,0.18393234672304073
GBPUSD,2002-04-17,0.008199999999999985,0.005840000000000023,0.006249999999999978,0.006815000000000004,0.8569332355099075,0.9170946441672743,0.3414634146341635,0.6470180678176204,0.6826151408394706,0.6333333333333371,0.5371179039301267,0.3874239350912713
GBPUSD,2002-04-18,0.00550000000000006,0.005540000000000012,0.006040000000000001,0.006630000000000002,0.8355957767722488,0.9110105580693815,0.4909090909090718,0.6280570288565798,0.6593376288777437,1.0,0.6709956709956705,0.4274353876739539
GBPUSD,2002-04-19,0.0046999999999999265,0.005800000000000027,0.005899999999999994,0.006599999999999995,0.8787878787878837,0.8939393939393937,0.8297872340425693,0.5940144756650936,0.6521524178557737,1.0,0.7625570776255591,0.4302788844621487
GBPUSD,2002-04-22,0.006000000000000005,0.006020000000000003,0.005730000000000013,0.006569999999999998,0.9162861491628622,0.8721461187214634,0.7666666666666556,0.6085722987943529,0.6716762273795813,1.0,0.7291666666666549,0.46441947565542874
GBPUSD,2002-04-23,0.005400000000000071,0.0059600000000000096,0.0054900000000000174,0.006514999999999993,0.914811972371453,0.8426707597851149,0.9814814814814837,0.6820615775467888,0.6864910421943973,0.2098765432098752,0.509090909090908,0.4270072992700697
GBPUSD,2002-04-24,0.005700000000000038,0.00546000000000002,0.005650000000000021,0.006455,0.8458559256390427,0.8752904725019398,0.8421052631579132,0.7821899472515387,0.7146040075345795,0.23809523809523306,0.5113122171945688,0.4332129963898877
GBPUSD,2002-04-25,0.00749999999999984,0.005859999999999976,0.005699999999999994,0.006554999999999989,0.8939740655987775,0.869565217391305,0.30666666666666903,0.7453414624030581,0.686699245629819,0.552447552447546,0.7519379844961195,0.48524590163934056
GBPUSD,2002-04-26,0.008200000000000207,0.006560000000000033,0.00618000000000003,0.006779999999999997,0.9675516224188844,0.9115044247787659,0.6829268292682814,0.7159693814482007,0.6549919285566471,0.5395683453237285,0.7689530685920516,0.3578732106339409
GBPUSD,2002-04-29,0.007400000000000073,0.006840000000000046,0.006430000000000024,0.006235000000000002,1.0970328789093895,1.03127506014435,0.3513513513513692,0.6329063183851433,0.6207393085897481,1.0,0.748031496062988,0.5101123595505606
GBPUSD,2002-04-30,0.0037000000000000366,0.006500000000000039,0.006230000000000025,0.0061050000000000045,1.0647010647010702,1.0204750204750237,0.7837837837838098,0.5933667788456085,0.6377141781961987,0.8383838383838152,0.5999999999999867,0.4900221729489961
GBPUSD,2002-05-01,0.01179999999999981,0.007719999999999993,0.006590000000000007,0.0064199999999999926,1.2024922118380066,1.0264797507788186,0.31355932203390646,0.4876575906208071,0.6349237689361729,0.8584070796459978,0.6874999999999886,0.6294820717131402
GBPUSD,2002-05-02,0.007299999999999862,0.007679999999999998,0.006769999999999987,0.006404999999999994,1.1990632318501178,1.0569867291178756,0.8082191780821789,0.5879680929039092,0.6666547776534837,0.466666666666661,0.5652173913043395,0.613412228796839
