Symbol,Date,Open,High,Low,Close,Volume,MarketState
GBPUSD,2012.04.23,1.61260,1.61332,1.60759,1.61241,60464,UNKNOWN
GBPUSD,2012.04.24,1.61243,1.61621,1.61089,1.61412,61348,UNKNOWN
GBPUSD,2012.04.25,1.61414,1.61813,1.60811,1.61674,65032,UNKNOWN
GBPUSD,2012.04.26,1.61675,1.62061,1.61576,1.61776,62390,UNKNOWN
GBPUSD,2012.04.27,1.61777,1.62793,1.61527,1.62594,64713,UNKNOWN
GBPUSD,2012.04.30,1.62735,1.63006,1.62206,1.62357,57812,UNKNOWN
GBPUSD,2012.05.01,1.62357,1.62464,1.61859,1.62198,49304,UNKNOWN
GBPUSD,2012.05.02,1.62197,1.62378,1.61600,1.61970,61134,UNKNOWN
GBPUSD,2012.05.03,1.61970,1.62145,1.61606,1.61790,60081,UNKNOWN
GBPUSD,2012.05.04,1.61790,1.62005,1.61408,1.61470,59824,UNKNOWN
GBPUSD,2012.05.07,1.61501,1.61963,1.61130,1.61936,62740,UNKNOWN
GBPUSD,2012.05.08,1.61936,1.61975,1.61238,1.61526,67543,UNKNOWN
GBPUSD,2012.05.09,1.61529,1.61580,1.60681,1.61310,72887,UNKNOWN
GBPUSD,2012.05.10,1.61308,1.61813,1.60911,1.61307,70127,UNKNOWN
GBPUSD,2012.05.11,1.61306,1.61419,1.60611,1.60656,65464,UNKNOWN
GBPUSD,2012.05.14,1.60656,1.61219,1.60508,1.60970,65059,UNKNOWN
GBPUSD,2012.05.15,1.60969,1.61130,1.59882,1.59974,65620,UNKNOWN
GBPUSD,2012.05.16,1.59973,1.59977,1.58889,1.59111,75178,UNKNOWN
GBPUSD,2012.05.17,1.59109,1.59318,1.57805,1.57810,71875,UNKNOWN
GBPUSD,2012.05.18,1.57811,1.58365,1.57322,1.58146,72021,UNKNOWN
GBPUSD,2012.05.21,1.58104,1.58401,1.57787,1.58217,73478,UNKNOWN
GBPUSD,2012.05.22,1.58217,1.58474,1.57402,1.57634,71636,UNKNOWN
GBPUSD,2012.05.23,1.57635,1.57706,1.56749,1.56908,79425,UNKNOWN
GBPUSD,2012.05.24,1.56909,1.57254,1.56382,1.56676,77740,UNKNOWN
GBPUSD,2012.05.25,1.56677,1.56986,1.56298,1.56641,75121,UNKNOWN
GBPUSD,2012.05.28,1.56790,1.57161,1.56710,1.56765,74062,UNKNOWN
GBPUSD,2012.05.29,1.56765,1.57153,1.56074,1.56329,87300,UNKNOWN
GBPUSD,2012.05.30,1.56330,1.56368,1.54736,1.54816,92889,UNKNOWN
GBPUSD,2012.05.31,1.54817,1.55256,1.53597,1.54027,93468,UNKNOWN
GBPUSD,2012.06.01,1.54026,1.54356,1.52677,1.53591,94607,UNKNOWN
GBPUSD,2012.06.04,1.53722,1.54142,1.53411,1.53822,84871,UNKNOWN
GBPUSD,2012.06.05,1.53824,1.54069,1.53213,1.53752,85849,UNKNOWN
GBPUSD,2012.06.06,1.53751,1.55144,1.53726,1.54887,94407,UNKNOWN
GBPUSD,2012.06.07,1.54886,1.55999,1.54297,1.55324,92822,UNKNOWN
GBPUSD,2012.06.08,1.55323,1.55360,1.54032,1.54682,89599,UNKNOWN
GBPUSD,2012.06.11,1.55203,1.55807,1.54707,1.54709,88974,UNKNOWN
GBPUSD,2012.06.12,1.54710,1.55891,1.54537,1.55678,87605,UNKNOWN
GBPUSD,2012.06.13,1.55675,1.55972,1.55032,1.55093,88208,UNKNOWN
GBPUSD,2012.06.14,1.55094,1.55634,1.54719,1.55516,88737,UNKNOWN
GBPUSD,2012.06.15,1.55515,1.57263,1.54759,1.57111,84399,UNKNOWN
GBPUSD,2012.06.18,1.57370,1.57374,1.56361,1.56643,93738,UNKNOWN
GBPUSD,2012.06.19,1.56642,1.57562,1.56145,1.57237,92589,UNKNOWN
GBPUSD,2012.06.20,1.57237,1.57764,1.56508,1.57071,93087,UNKNOWN
GBPUSD,2012.06.21,1.57068,1.57322,1.55772,1.55961,95257,UNKNOWN
GBPUSD,2012.06.22,1.55958,1.56335,1.55563,1.55825,85469,UNKNOWN
GBPUSD,2012.06.25,1.55831,1.55941,1.55382,1.55706,81394,UNKNOWN
GBPUSD,2012.06.26,1.55706,1.56496,1.55626,1.56340,80328,UNKNOWN
GBPUSD,2012.06.27,1.56342,1.56396,1.55451,1.55654,65352,UNKNOWN
GBPUSD,2012.06.28,1.55655,1.56226,1.54843,1.55147,74961,UNKNOWN
GBPUSD,2012.06.29,1.55150,1.57143,1.55087,1.57040,85168,UNKNOWN
GBPUSD,2012.07.02,1.56956,1.57207,1.56409,1.56919,71786,UNKNOWN
GBPUSD,2012.07.03,1.56914,1.57124,1.56576,1.56860,65171,UNKNOWN
GBPUSD,2012.07.04,1.56861,1.56892,1.55737,1.55937,64245,UNKNOWN
GBPUSD,2012.07.05,1.55939,1.56218,1.54991,1.55210,72906,UNKNOWN
GBPUSD,2012.07.06,1.55211,1.55500,1.54605,1.54887,66626,UNKNOWN
GBPUSD,2012.07.09,1.54758,1.55334,1.54697,1.55240,61623,UNKNOWN
GBPUSD,2012.07.10,1.55240,1.55476,1.54776,1.55161,65044,UNKNOWN
GBPUSD,2012.07.11,1.55162,1.55771,1.54856,1.55042,64033,UNKNOWN
GBPUSD,2012.07.12,1.55049,1.55155,1.53927,1.54304,68501,UNKNOWN
GBPUSD,2012.07.13,1.54304,1.55797,1.54136,1.55741,65296,UNKNOWN
GBPUSD,2012.07.16,1.55812,1.56531,1.55164,1.56318,61907,UNKNOWN
GBPUSD,2012.07.17,1.56319,1.56771,1.55529,1.56440,69329,UNKNOWN
GBPUSD,2012.07.18,1.56439,1.56665,1.55807,1.56527,67293,UNKNOWN
GBPUSD,2012.07.19,1.56528,1.57351,1.56357,1.57172,70703,UNKNOWN
GBPUSD,2012.07.20,1.57173,1.57216,1.56108,1.56195,66414,UNKNOWN
GBPUSD,2012.07.23,1.56049,1.56149,1.54843,1.55015,75894,UNKNOWN
GBPUSD,2012.07.24,1.55012,1.55507,1.54860,1.55038,73354,UNKNOWN
GBPUSD,2012.07.25,1.55037,1.55509,1.54581,1.54933,76497,UNKNOWN
GBPUSD,2012.07.26,1.54935,1.57226,1.54697,1.56841,80130,UNKNOWN
GBPUSD,2012.07.27,1.56843,1.57668,1.56657,1.57439,79375,UNKNOWN
GBPUSD,2012.07.30,1.57331,1.57395,1.56706,1.57014,67135,UNKNOWN
GBPUSD,2012.07.31,1.57015,1.57290,1.56248,1.56730,71172,UNKNOWN
GBPUSD,2012.08.01,1.56730,1.56895,1.55295,1.55370,69040,UNKNOWN
GBPUSD,2012.08.02,1.55371,1.56777,1.54898,1.55134,79398,UNKNOWN
GBPUSD,2012.08.03,1.55133,1.56559,1.55035,1.56371,72864,UNKNOWN
GBPUSD,2012.08.06,1.56362,1.56645,1.55453,1.55982,69394,UNKNOWN
GBPUSD,2012.08.07,1.55978,1.56835,1.55638,1.56211,69666,UNKNOWN
GBPUSD,2012.08.08,1.56212,1.56761,1.55718,1.56566,68131,UNKNOWN
GBPUSD,2012.08.09,1.56567,1.56845,1.56049,1.56340,67843,UNKNOWN
GBPUSD,2012.08.10,1.56343,1.57001,1.55766,1.56873,62331,UNKNOWN
GBPUSD,2012.08.13,1.56759,1.57163,1.56565,1.56799,58595,UNKNOWN
GBPUSD,2012.08.14,1.56801,1.57263,1.56707,1.56759,62855,UNKNOWN
GBPUSD,2012.08.15,1.56758,1.57006,1.56596,1.56789,57932,UNKNOWN
GBPUSD,2012.08.16,1.56788,1.57437,1.56353,1.57344,62594,UNKNOWN
GBPUSD,2012.08.17,1.57346,1.57385,1.56736,1.56935,60225,UNKNOWN
GBPUSD,2012.08.20,1.56968,1.57166,1.56772,1.57084,56148,UNKNOWN
GBPUSD,2012.08.21,1.57084,1.58033,1.57052,1.57820,60470,UNKNOWN
GBPUSD,2012.08.22,1.57818,1.58824,1.57679,1.58809,64260,UNKNOWN
GBPUSD,2012.08.23,1.58810,1.59113,1.58553,1.58578,65245,UNKNOWN
GBPUSD,2012.08.24,1.58581,1.58683,1.58017,1.58089,58235,UNKNOWN
GBPUSD,2012.08.27,1.58138,1.58276,1.57863,1.57886,42411,UNKNOWN
GBPUSD,2012.08.28,1.57885,1.58349,1.57534,1.58176,53341,UNKNOWN
GBPUSD,2012.08.29,1.58175,1.58537,1.58020,1.58281,45808,UNKNOWN
GBPUSD,2012.08.30,1.58281,1.58741,1.57704,1.57839,47567,UNKNOWN
GBPUSD,2012.08.31,1.57838,1.58940,1.57773,1.58636,59406,UNKNOWN
GBPUSD,2012.09.03,1.58808,1.58976,1.58490,1.58835,50209,UNKNOWN
GBPUSD,2012.09.04,1.58835,1.59079,1.58578,1.58737,56823,UNKNOWN
GBPUSD,2012.09.05,1.58738,1.59333,1.58258,1.59009,66893,UNKNOWN
GBPUSD,2012.09.06,1.59010,1.59410,1.58814,1.59348,63831,UNKNOWN
GBPUSD,2012.09.07,1.59349,1.60333,1.59217,1.60075,65289,UNKNOWN
GBPUSD,2012.09.10,1.60109,1.60175,1.59582,1.59871,55615,UNKNOWN
GBPUSD,2012.09.11,1.59870,1.60829,1.59862,1.60675,62203,UNKNOWN
GBPUSD,2012.09.12,1.60675,1.61301,1.60633,1.61078,68980,UNKNOWN
GBPUSD,2012.09.13,1.61078,1.61730,1.60737,1.61498,69701,UNKNOWN
GBPUSD,2012.09.14,1.61499,1.62541,1.61426,1.62143,73938,UNKNOWN
GBPUSD,2012.09.17,1.62275,1.62721,1.62100,1.62473,63072,UNKNOWN
GBPUSD,2012.09.18,1.62473,1.62664,1.62201,1.62388,66812,UNKNOWN
GBPUSD,2012.09.19,1.62389,1.62699,1.61839,1.62206,68162,UNKNOWN
GBPUSD,2012.09.20,1.62206,1.62353,1.61627,1.62138,73030,UNKNOWN
GBPUSD,2012.09.21,1.62141,1.63086,1.62120,1.62286,72448,UNKNOWN
GBPUSD,2012.09.24,1.62427,1.62458,1.61813,1.62207,63484,UNKNOWN
GBPUSD,2012.09.25,1.62207,1.62666,1.61816,1.61937,71518,UNKNOWN
GBPUSD,2012.09.26,1.61936,1.62086,1.61367,1.61672,73848,UNKNOWN
GBPUSD,2012.09.27,1.61675,1.62428,1.61653,1.62340,75116,UNKNOWN
GBPUSD,2012.09.28,1.62344,1.62714,1.61123,1.61638,76863,UNKNOWN
GBPUSD,2012.10.01,1.61544,1.61740,1.61081,1.61294,68325,UNKNOWN
GBPUSD,2012.10.02,1.61294,1.61862,1.61244,1.61289,67269,UNKNOWN
